,split,class_name,video_name,dataset
0,validation,walk,IamLegend_walk_f_nm_np1_ba_med_9.avi,HMDB51
1,validation,walk,a095-0771C.mp4,STAIR
2,validation,walk,a095-0854C.mp4,STAIR
3,validation,walk,Veoh_Alpha_Dog_1_walk_f_cm_np2_fr_med_58.avi,HMDB51
4,validation,walk,A_Beautiful_Mind_6_walk_u_cm_np1_fr_med_1.avi,HMDB51
5,validation,walk,Return_of_the_King_8_walk_u_nm_np1_fr_med_1.avi,HMDB51
6,validation,walk,BIG_FISH_walk_f_nm_np1_fr_med_23.avi,HMDB51
7,validation,walk,a095-0835C.mp4,STAIR
8,validation,walk,Catch_Me_If_You_Can_walk_f_cm_np1_fr_med_3.avi,HMDB51
9,validation,walk,a095-0819C.mp4,STAIR
10,validation,walk,The_Fugitive_2_walk_f_cm_np1_ba_med_6.avi,HMDB51
11,validation,walk,a095-0774C.mp4,STAIR
12,validation,walk,a095-0836C.mp4,STAIR
13,validation,walk,CharlieAndTheChocolateFactory_walk_f_cm_np1_fr_med_14.avi,HMDB51
14,validation,walk,a095-0773C.mp4,STAIR
15,validation,walk,a095-0822C.mp4,STAIR
16,validation,walk,a095-0786C.mp4,STAIR
17,validation,walk,a095-0823C.mp4,STAIR
18,validation,walk,50_FIRST_DATES_walk_f_cm_np1_fr_med_26.avi,HMDB51
19,validation,walk,a095-0829C.mp4,STAIR
20,validation,walk,a095-0783C.mp4,STAIR
21,validation,walk,American_History_X_walk_f_cm_np1_ri_med_48.avi,HMDB51
22,validation,walk,TheLittleShopofHorrors_walk_u_nm_np1_fr_med_9.avi,HMDB51
23,validation,walk,A_Beautiful_Mind_5_walk_f_cm_np1_ri_med_3.avi,HMDB51
24,validation,walk,TheLittleShopofHorrors_walk_f_cm_np1_fr_med_12.avi,HMDB51
25,validation,walk,a095-0824C.mp4,STAIR
26,validation,walk,RushHour2_walk_u_cm_np1_fr_med_6.avi,HMDB51
27,validation,walk,a095-0830C.mp4,STAIR
28,validation,walk,a095-0808C.mp4,STAIR
29,validation,walk,a095-0790C.mp4,STAIR
30,validation,walk,Man_Who_Cheated_Himself_512kb_walk_u_cm_np1_ri_med_2.avi,HMDB51
31,validation,walk,LivefreeorDieHard_walk_u_cm_np1_ba_med_0.avi,HMDB51
32,validation,walk,a095-0780C.mp4,STAIR
33,validation,walk,a095-0805C.mp4,STAIR
34,validation,walk,a095-0810C.mp4,STAIR
35,validation,walk,TheBoondockSaints_walk_u_cm_np1_fr_med_33.avi,HMDB51
36,validation,walk,a095-0818C.mp4,STAIR
37,validation,walk,a095-0792C.mp4,STAIR
38,validation,walk,a095-0840C.mp4,STAIR
39,validation,walk,a095-0781C.mp4,STAIR
40,validation,walk,a095-0820C.mp4,STAIR
41,validation,walk,a095-0768C.mp4,STAIR
42,validation,walk,a095-0847C.mp4,STAIR
43,validation,walk,RETURN_OF_THE_KING_walk_f_cm_np1_ba_med_50.avi,HMDB51
44,validation,walk,a095-0765C.mp4,STAIR
45,validation,walk,OldSchool_walk_f_nm_np1_ri_med_0.avi,HMDB51
46,validation,walk,a095-0798C.mp4,STAIR
47,validation,walk,a095-0834C.mp4,STAIR
48,validation,walk,a095-0764C.mp4,STAIR
49,validation,walk,a095-0797C.mp4,STAIR
50,validation,walk,CasinoRoyale_walk_u_nm_np1_fr_bad_4.avi,HMDB51
51,validation,walk,a095-0794C.mp4,STAIR
52,validation,walk,a095-0826C.mp4,STAIR
53,validation,walk,TheBoondockSaints_walk_u_cm_np1_ri_med_26.avi,HMDB51
54,validation,walk,CastAway1_walk_f_nm_np1_ba_med_19.avi,HMDB51
55,validation,walk,a095-0778C.mp4,STAIR
56,validation,walk,a095-0791C.mp4,STAIR
57,validation,walk,a095-0767C.mp4,STAIR
58,validation,walk,CharlieAndTheChocolateFactory_walk_f_nm_np1_le_med_27.avi,HMDB51
59,validation,walk,EVOLUTION_walk_f_cm_np1_ba_med_12.avi,HMDB51
60,validation,walk,a095-0814C.mp4,STAIR
61,validation,walk,OldSchool_walk_f_nm_np1_ba_med_10.avi,HMDB51
62,validation,walk,Veoh_Alpha_Dog_1_walk_u_cm_np1_fr_med_13.avi,HMDB51
63,validation,walk,DONNIE_DARKO_walk_f_nm_np1_fr_med_5.avi,HMDB51
64,validation,walk,a095-0837C.mp4,STAIR
65,validation,walk,a095-0817C.mp4,STAIR
66,validation,walk,a095-0809C.mp4,STAIR
67,validation,walk,a095-0801C.mp4,STAIR
68,validation,walk,a095-0816C.mp4,STAIR
69,validation,walk,a095-0833C.mp4,STAIR
70,validation,walk,Prelinger_LetYours1940_walk_f_nm_np1_ba_med_5.avi,HMDB51
71,validation,walk,BIG_FISH_walk_f_nm_np1_fr_med_29.avi,HMDB51
72,validation,walk,Oceans11_walk_u_cm_np1_fr_med_1.avi,HMDB51
73,validation,walk,BIG_FISH_walk_f_nm_np1_ba_med_18.avi,HMDB51
74,validation,walk,a095-0855C.mp4,STAIR
75,validation,walk,a095-0784C.mp4,STAIR
76,validation,walk,a095-0842C.mp4,STAIR
77,validation,walk,a095-0772C.mp4,STAIR
78,validation,walk,a095-0793C.mp4,STAIR
79,validation,walk,a095-0839C.mp4,STAIR
