,split,class_name,video_name,dataset,youtube_id,start_time,end_time
2961,train,using inhaler,367314.mp4,Kinetics,JtmSVfXihO8,86,96
2962,train,using inhaler,367272.mp4,Kinetics,8Y2z8R6_0Gk,41,51
2963,train,using inhaler,367512.mp4,Kinetics,56idWnUee-Q,0,10
2964,train,using inhaler,367383.mp4,Kinetics,CH2kgb19PPA,7,17
2965,train,using inhaler,367566.mp4,Kinetics,pHZMp8K_wvI,215,225
2966,train,using inhaler,367435.mp4,Kinetics,DNAQ39XnbK8,45,55
2967,train,using inhaler,367765.mp4,Kinetics,fuiCcMeAKm0,76,86
2968,train,using inhaler,367397.mp4,Kinetics,9tc2s5Dprq4,332,342
2969,train,using inhaler,367686.mp4,Kinetics,rQ1MW9C0jGE,286,296
2970,train,using inhaler,367360.mp4,Kinetics,QxBf57P-AlE,18,28
2971,train,using inhaler,367456.mp4,Kinetics,NpicDATMiK0,194,204
2972,train,using inhaler,367373.mp4,Kinetics,O0CtHKxurRY,96,106
2973,train,using inhaler,367370.mp4,Kinetics,Z_RX7tzRBbA,73,83
2974,train,using inhaler,367783.mp4,Kinetics,drIf0CGzssY,28,38
2975,train,using inhaler,367317.mp4,Kinetics,eRyYzmz4an8,167,177
2976,train,using inhaler,367502.mp4,Kinetics,WeqsQNGn4QY,162,172
2977,train,using inhaler,367667.mp4,Kinetics,34U_zhyyNb8,30,40
2978,train,using inhaler,367396.mp4,Kinetics,KNzMdBSpB0A,106,116
2979,train,using inhaler,367593.mp4,Kinetics,eFGOAKPpIGY,29,39
2980,train,using inhaler,367283.mp4,Kinetics,cZnZyDMW7bg,1,11
2981,train,using inhaler,367490.mp4,Kinetics,nkiWB3XT7e4,69,79
2982,train,using inhaler,367285.mp4,Kinetics,KAn93k9TmBM,119,129
2983,train,using inhaler,367359.mp4,Kinetics,-Unm2G3OfPM,75,85
2984,train,using inhaler,367358.mp4,Kinetics,zwBWCzNpXTo,30,40
2985,train,using inhaler,367452.mp4,Kinetics,wkrzuq2A4g8,35,45
2986,train,using inhaler,367776.mp4,Kinetics,7IyM2C-Hhfs,113,123
2987,train,using inhaler,367427.mp4,Kinetics,PyB8sBXLAA0,79,89
2988,train,using inhaler,367384.mp4,Kinetics,U8YCjVl4HU0,214,224
2989,train,using inhaler,367544.mp4,Kinetics,SHtcCOGT1f0,67,77
2990,train,using inhaler,367716.mp4,Kinetics,w1Z-e7i6fEk,26,36
2991,train,using inhaler,367771.mp4,Kinetics,f245KrJJQMU,17,27
2992,train,using inhaler,367752.mp4,Kinetics,jYKi4yDVvPY,68,78
2993,train,using inhaler,367267.mp4,Kinetics,w5390M4jdFE,17,27
2994,train,using inhaler,367659.mp4,Kinetics,v6cu8TYdDNQ,54,64
2995,train,using inhaler,367665.mp4,Kinetics,MPBuoMyThFc,410,420
2996,train,using inhaler,367682.mp4,Kinetics,pJhvHeLBeaY,31,41
2997,train,using inhaler,367737.mp4,Kinetics,68pHTk1eBpM,44,54
2998,train,using inhaler,367346.mp4,Kinetics,WmMbaPWxc_I,57,67
2999,train,using inhaler,367555.mp4,Kinetics,l0i6iC9FGSc,12,22
3000,train,using inhaler,367581.mp4,Kinetics,E9OAWEjPmZo,28,38
3001,train,using inhaler,367331.mp4,Kinetics,7X8f1T9bURU,7,17
3002,train,using inhaler,367303.mp4,Kinetics,J--3vlclUzw,42,52
3003,train,using inhaler,367565.mp4,Kinetics,nTBGy6jn-xA,0,10
3004,train,using inhaler,367315.mp4,Kinetics,2yscUeZI6HQ,23,33
3005,train,using inhaler,367602.mp4,Kinetics,V7SOG2gICAY,77,87
3006,train,using inhaler,367507.mp4,Kinetics,4DNSNW-uiKM,97,107
3007,train,using inhaler,367367.mp4,Kinetics,GZp0geAB_Nc,27,37
3008,train,using inhaler,367664.mp4,Kinetics,GSn9gOHNNnc,41,51
3009,train,using inhaler,367347.mp4,Kinetics,DI75-35YxFM,162,172
3010,train,using inhaler,367329.mp4,Kinetics,3-ztQ2gieZU,71,81
3011,train,using inhaler,367535.mp4,Kinetics,Pwby_UaSvHQ,13,23
3012,train,using inhaler,367679.mp4,Kinetics,rzPrGEOTxxQ,34,44
3013,train,using inhaler,367663.mp4,Kinetics,qA5_Gs76rss,45,55
3014,train,using inhaler,367798.mp4,Kinetics,LDbNGjh6KoE,45,55
3015,train,using inhaler,367335.mp4,Kinetics,wwQZW_pdXN8,10,20
3016,train,using inhaler,367774.mp4,Kinetics,lV3J5nEC2l0,23,33
3017,train,using inhaler,367560.mp4,Kinetics,GwaP0ucSqiE,27,37
3018,train,using inhaler,367562.mp4,Kinetics,RRTVFz7K-3k,40,50
3019,train,using inhaler,367474.mp4,Kinetics,mw2OlLJTcqg,4,14
3020,train,using inhaler,367640.mp4,Kinetics,ggkGll3nJkA,68,78
3021,train,using inhaler,367775.mp4,Kinetics,EYHIvlOTH0M,28,38
3022,train,using inhaler,367586.mp4,Kinetics,n7K6PGA56Fs,23,33
3023,train,using inhaler,367276.mp4,Kinetics,vapHl--iGI4,19,29
3024,train,using inhaler,367380.mp4,Kinetics,VWeKhWnCfzQ,156,166
3025,train,using inhaler,367395.mp4,Kinetics,zh39FqMbDbI,0,10
3026,train,using inhaler,367793.mp4,Kinetics,ZxZWbEY_hIY,0,10
3027,train,using inhaler,367681.mp4,Kinetics,qUlsVdI9WYM,55,65
3028,train,using inhaler,367799.mp4,Kinetics,x1zAfZ1vU8Y,19,29
3029,train,using inhaler,367653.mp4,Kinetics,6lgTD-TQdac,9,19
3030,train,using inhaler,367450.mp4,Kinetics,LJI2Wf15PCo,29,39
3031,train,using inhaler,367457.mp4,Kinetics,Tzu8Fl67jpQ,3,13
3032,train,using inhaler,367779.mp4,Kinetics,QowF4-kquqo,41,51
3033,train,using inhaler,367738.mp4,Kinetics,NtN2hKZW8sQ,18,28
3034,train,using inhaler,367410.mp4,Kinetics,KzTXucK_5Jc,68,78
3035,train,using inhaler,367352.mp4,Kinetics,1hVloEucw3g,0,10
3036,train,using inhaler,367468.mp4,Kinetics,WP_idlzH8iU,33,43
3037,train,using inhaler,367631.mp4,Kinetics,gCEjxdOVrNo,40,50
3038,train,using inhaler,367366.mp4,Kinetics,Kr02is6jVUk,29,39
3039,train,using inhaler,367584.mp4,Kinetics,Q-odnt9aW-A,108,118
3040,train,using inhaler,367601.mp4,Kinetics,y6u1GHNnIA8,12,22
3041,train,using inhaler,367525.mp4,Kinetics,ParJg_friZk,122,132
3042,train,using inhaler,367678.mp4,Kinetics,UCC0lXJiZ2w,20,30
3043,train,using inhaler,367505.mp4,Kinetics,joe2QSvRbRo,3,13
3044,train,using inhaler,367657.mp4,Kinetics,0eL8o-CHQpA,20,30
3045,train,using inhaler,367658.mp4,Kinetics,LRGSHcZBM58,70,80
3046,train,using inhaler,367475.mp4,Kinetics,RjQwazCEVIU,75,85
3047,train,using inhaler,367402.mp4,Kinetics,1l3eSroaGxA,51,61
3048,train,using inhaler,367785.mp4,Kinetics,uokk7dEr_ZE,79,89
3049,train,using inhaler,367802.mp4,Kinetics,BYM5NldZ2FA,144,154
3050,train,using inhaler,367693.mp4,Kinetics,GGiHvDt8UNs,105,115
3051,train,using inhaler,367308.mp4,Kinetics,SUnJansSHAA,67,77
3052,train,using inhaler,367756.mp4,Kinetics,7RigzbQnc_w,0,10
3053,train,using inhaler,367754.mp4,Kinetics,aJYhMKcOzcY,3,13
3054,train,using inhaler,367463.mp4,Kinetics,3L_o8oNEzZk,46,56
3055,train,using inhaler,367751.mp4,Kinetics,V1QSZeKP2cQ,50,60
3056,train,using inhaler,367489.mp4,Kinetics,G27g9CzzBEI,182,192
3057,train,using inhaler,367399.mp4,Kinetics,t08zK1ZGSRk,63,73
3058,train,using inhaler,367769.mp4,Kinetics,9BSdbxsLECo,13,23
3059,train,using inhaler,367724.mp4,Kinetics,NDs3Q3jyr6Y,106,116
3060,train,using inhaler,367413.mp4,Kinetics,kD4CdrT-l84,5,15
3061,train,using inhaler,367298.mp4,Kinetics,rLgOILRVO34,59,69
3062,train,using inhaler,367670.mp4,Kinetics,ABJR2qMvJCk,6,16
3063,train,using inhaler,367382.mp4,Kinetics,4sbZYJc5vg8,0,10
3064,train,using inhaler,367493.mp4,Kinetics,O2uKv57L98o,15,25
3065,train,using inhaler,367420.mp4,Kinetics,hFqiiz94T0g,37,47
3066,train,using inhaler,367633.mp4,Kinetics,pwbC2n6iTqc,25,35
3067,train,using inhaler,367529.mp4,Kinetics,GPuSwtVubQQ,60,70
3068,train,using inhaler,367750.mp4,Kinetics,jN3z9dco1V0,91,101
3069,train,using inhaler,367274.mp4,Kinetics,GgzOnq9tjqk,171,181
3070,train,using inhaler,367585.mp4,Kinetics,6yofnK1oLCE,31,41
3071,train,using inhaler,367600.mp4,Kinetics,OBvZ_UWWFvA,0,10
3072,train,using inhaler,367764.mp4,Kinetics,PTu8NgXUQN0,117,127
3073,train,using inhaler,367550.mp4,Kinetics,atfO8vCAcgY,2,12
3074,train,using inhaler,367534.mp4,Kinetics,8Or6n8QhdTw,241,251
3075,train,using inhaler,367469.mp4,Kinetics,xeM_IM004aI,10,20
3076,train,using inhaler,367755.mp4,Kinetics,_VpczL0w_zM,3,13
3077,train,using inhaler,367818.mp4,Kinetics,0Pm-WP2OEwU,29,39
3078,train,using inhaler,367520.mp4,Kinetics,54TjcCLDQCw,86,96
3079,train,using inhaler,367790.mp4,Kinetics,r_uN5MCUeJw,200,210
3080,train,using inhaler,367729.mp4,Kinetics,u7YFHFLbBck,156,166
3081,train,using inhaler,367480.mp4,Kinetics,fgsX6BO08-Y,83,93
3082,train,using inhaler,367378.mp4,Kinetics,zqkuwqSYEQw,1,11
3083,train,using inhaler,367787.mp4,Kinetics,nEGtWP1MSkU,90,100
3084,train,using inhaler,367803.mp4,Kinetics,osvaP_dHcqk,25,35
3085,train,using inhaler,367488.mp4,Kinetics,9PJtjVItkTQ,102,112
3086,train,using inhaler,367731.mp4,Kinetics,t97vRIz8Vfk,7,17
3087,train,using inhaler,367766.mp4,Kinetics,PBCvRcA2LnE,1,11
3088,train,using inhaler,367545.mp4,Kinetics,Ayv59dcUAR8,10,20
3089,train,using inhaler,367419.mp4,Kinetics,ZfkabvCjfnY,138,148
3090,train,using inhaler,367652.mp4,Kinetics,K65XAuN3KbA,62,72
3091,train,using inhaler,367701.mp4,Kinetics,V2-KVetWGSs,288,298
3092,train,using inhaler,367476.mp4,Kinetics,5hgdDLP6Baw,5,15
3093,train,using inhaler,367553.mp4,Kinetics,laNAWffMH6g,37,47
3094,train,using inhaler,367556.mp4,Kinetics,7R490GFKOfk,72,82
3095,train,using inhaler,367739.mp4,Kinetics,4dgxcexjrow,0,10
3096,train,using inhaler,367740.mp4,Kinetics,1KwJXDFBFmw,49,59
3097,train,using inhaler,367762.mp4,Kinetics,9yGB7-35EwQ,2,12
3098,train,using inhaler,367645.mp4,Kinetics,-fgRhZE0C3o,121,131
3099,train,using inhaler,367409.mp4,Kinetics,yQiGzELcMg4,165,175
3100,train,using inhaler,367635.mp4,Kinetics,ngzwL2njOB0,83,93
3101,train,using inhaler,367394.mp4,Kinetics,Y8F63PSTk_I,4,14
3102,train,using inhaler,367449.mp4,Kinetics,u9CMlxPdOjA,45,55
3103,train,using inhaler,367792.mp4,Kinetics,j_GugQbVQQ0,86,96
3104,train,using inhaler,367660.mp4,Kinetics,fuI3I_qnfuI,11,21
3105,train,using inhaler,367795.mp4,Kinetics,00k2U7zRpkI,0,10
3106,train,using inhaler,367479.mp4,Kinetics,OO_gS46ExQk,4,14
3107,train,using inhaler,367462.mp4,Kinetics,BkINrPnXaLs,105,115
3108,train,using inhaler,367513.mp4,Kinetics,8saQWDDdvpo,121,131
3109,train,using inhaler,367319.mp4,Kinetics,TG4n2x4FENU,139,149
3110,train,using inhaler,367722.mp4,Kinetics,NIDwcj8XuOM,15,25
3111,train,using inhaler,367484.mp4,Kinetics,eaAu9Rjd3Hk,132,142
3112,train,using inhaler,367275.mp4,Kinetics,lSjTR1AHVIY,44,54
3113,train,using inhaler,367365.mp4,Kinetics,8Dga4AZQolc,25,35
