,split,class_name,video_name,dataset,start_time,end_time
396,validation,fall,Coffee_room_01_12.avi,Fall dataset,1,5
399,validation,fall,Home_01_10.avi,Fall dataset,3,7
418,validation,fall,Office_01_02.avi,Fall dataset,5,9
436,validation,fall,Coffee_room_01_03.avi,Fall dataset,7,11
437,validation,fall,Home_01_20.avi,Fall dataset,3,8
445,validation,fall,Office_01_07.avi,Fall dataset,3,7
5519,train,fall,Home_01_02.avi,Fall dataset,3,7
5529,train,fall,Coffee_room_01_16.avi,Fall dataset,1,5
5534,train,fall,Coffee_room_01_08.avi,Fall dataset,6,10
5556,train,fall,Home_02_03.avi,Fall dataset,4,9
5575,train,fall,Home_01_06.avi,Fall dataset,3,7
5603,train,fall,Coffee_room_01_17.avi,Fall dataset,0,4
5607,train,fall,Office_01_09.avi,Fall dataset,1,6
5637,train,fall,Office_01_08.avi,Fall dataset,10,15
5657,train,fall,Home_01_25.avi,Fall dataset,3,8
5661,train,fall,Office_01_03.avi,Fall dataset,12,17
5663,train,fall,Office_01_05.avi,Fall dataset,4,8
5673,train,fall,Home_01_28.avi,Fall dataset,4,8
5707,train,fall,Home_01_18.avi,Fall dataset,4,8
5709,train,fall,Coffee_room_01_09.avi,Fall dataset,2,7
5737,train,fall,Office_01_13.avi,Fall dataset,25,30
5755,train,fall,Office_01_14.avi,Fall dataset,1,6
5763,train,fall,Home_01_12.avi,Fall dataset,4,8
5777,train,fall,Office_01_15.avi,Fall dataset,7,12
5790,train,fall,Home_02_02.avi,Fall dataset,4,7
5813,train,fall,Home_01_05.avi,Fall dataset,3,7
5823,train,fall,Coffee_room_01_06.avi,Fall dataset,4,8
5827,train,fall,Coffee_room_01_02.avi,Fall dataset,6,10
5844,train,fall,Home_01_19.avi,Fall dataset,3,7
5875,train,fall,Office_01_10.avi,Fall dataset,5,10
5919,train,fall,Office_01_16.avi,Fall dataset,9,13
5948,train,fall,Home_02_01.avi,Fall dataset,5,11
5951,train,fall,Coffee_room_01_21.avi,Fall dataset,2,6
5957,train,fall,Coffee_room_01_13.avi,Fall dataset,2,7
5983,train,fall,Home_02_06.avi,Fall dataset,4,7
6006,train,fall,Coffee_room_01_14.avi,Fall dataset,0,5
6030,train,fall,Coffee_room_01_10.avi,Fall dataset,7,12
6054,train,fall,Coffee_room_01_20.avi,Fall dataset,10,15
6126,train,fall,Home_01_01.avi,Fall dataset,5,9
6130,train,fall,Office_01_01.avi,Fall dataset,10,15
6153,train,fall,Home_01_30.avi,Fall dataset,3,7
6157,train,fall,Office_01_17.avi,Fall dataset,1,7
6196,train,fall,Home_02_04.avi,Fall dataset,4,8
6209,train,fall,Coffee_room_01_11.avi,Fall dataset,13,18
6214,train,fall,Home_01_07.avi,Fall dataset,3,7
6217,train,fall,Home_01_29.avi,Fall dataset,3,8
6218,train,fall,Office_01_12.avi,Fall dataset,6,11
6249,train,fall,Coffee_room_01_19.avi,Fall dataset,1,5
6281,train,fall,Home_01_13.avi,Fall dataset,5,9
6283,train,fall,Office_01_04.avi,Fall dataset,6,10
6287,train,fall,Coffee_room_01_15.avi,Fall dataset,1,4
6289,train,fall,Home_01_16.avi,Fall dataset,5,9
6303,train,fall,Coffee_room_01_01.avi,Fall dataset,1,5
6315,train,fall,Home_01_17.avi,Fall dataset,4,8
19473,test,fall,Home_01_26.avi,Fall dataset,3,7
19528,test,fall,Home_01_11.avi,Fall dataset,3,7
19529,test,fall,Coffee_room_01_05.avi,Fall dataset,4,7
19541,test,fall,Office_01_06.avi,Fall dataset,10,15
19542,test,fall,Coffee_room_01_18.avi,Fall dataset,4,8
19588,test,fall,Coffee_room_01_04.avi,Fall dataset,4,8
